sensor_id,receiver_id,time_index,value_db
sensor_500_25,sensor_500_25,0,41.2
sensor_500_25,sensor_500_25,1,40.9
sensor_500_25,sensor_500_25,2,41.5
sensor_500_25,sensor_500_25,3,42.1
sensor_500_25,sensor_500_25,4,43.0
sensor_500_35,sensor_500_35,0,40.7
sensor_500_35,sensor_500_35,1,40.8
sensor_500_35,sensor_500_35,2,41.2
sensor_500_35,sensor_500_35,3,41.6
sensor_500_35,sensor_500_35,4,42.0
sensor_500_45,sensor_500_45,0,40.4
sensor_500_45,sensor_500_45,1,40.5
sensor_500_45,sensor_500_45,2,40.8
sensor_500_45,sensor_500_45,3,41.1
sensor_500_45,sensor_500_45,4,41.4
sensor_500_55,sensor_500_55,0,40.2
sensor_500_55,sensor_500_55,1,40.3
sensor_500_55,sensor_500_55,2,40.5
sensor_500_55,sensor_500_55,3,40.9
sensor_500_55,sensor_500_55,4,41.1
sensor_500_65,sensor_500_65,0,40.1
sensor_500_65,sensor_500_65,1,40.2
sensor_500_65,sensor_500_65,2,40.4
sensor_500_65,sensor_500_65,3,40.7
sensor_500_65,sensor_500_65,4,41.0
sensor_500_115,sensor_500_115,0,40.0
sensor_500_115,sensor_500_115,1,40.1
sensor_500_115,sensor_500_115,2,40.2
sensor_500_115,sensor_500_115,3,40.4
sensor_500_115,sensor_500_115,4,40.6
sensor_500_165,sensor_500_165,0,39.9
sensor_500_165,sensor_500_165,1,40.0
sensor_500_165,sensor_500_165,2,40.1
sensor_500_165,sensor_500_165,3,40.3
sensor_500_165,sensor_500_165,4,40.5
sensor_500_215,sensor_500_215,0,39.8
sensor_500_215,sensor_500_215,1,39.9
sensor_500_215,sensor_500_215,2,40.0
sensor_500_215,sensor_500_215,3,40.1
sensor_500_215,sensor_500_215,4,40.3
