sensor_id,receiver_id,time_index,value_db
sensor_500_25,sensor_500_25,0,40.0
sensor_500_25,sensor_500_25,1,40.0
sensor_500_25,sensor_500_25,2,40.0
sensor_500_25,sensor_500_25,3,40.0
sensor_500_25,sensor_500_25,4,40.0
sensor_500_25,sensor_500_25,5,55.0
sensor_500_25,sensor_500_25,6,40.0
sensor_500_25,sensor_500_25,7,51.023502
sensor_500_25,sensor_500_25,8,51.637837
sensor_500_25,sensor_500_25,9,52.310082
sensor_500_25,sensor_500_25,10,53.050132
sensor_500_25,sensor_500_25,11,53.870748
sensor_500_35,sensor_500_35,0,40.0
sensor_500_35,sensor_500_35,1,40.0
sensor_500_35,sensor_500_35,2,40.0
sensor_500_35,sensor_500_35,3,40.0
sensor_500_35,sensor_500_35,4,40.0
sensor_500_35,sensor_500_35,5,40.0
sensor_500_35,sensor_500_35,6,40.0
sensor_500_35,sensor_500_35,7,51.00962
sensor_500_35,sensor_500_35,8,51.621487
sensor_500_35,sensor_500_35,9,52.290597
sensor_500_35,sensor_500_35,10,53.026583
sensor_500_35,sensor_500_35,11,53.841807
